epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.44128,2.2958,3.85286,2.21942,0.6134,0.10357,0.12104,0.06862,2.22772,5.23307,2.05141,0.000175,0.000175,0.000175
2,14.1805,1.85294,2.56237,1.82241,0.5787,0.17867,0.16989,0.08776,2.25719,3.35163,2.21161,0.000358911,0.000358911,0.000358911
3,19.8911,1.86904,2.42181,1.79178,0.40388,0.29405,0.16852,0.07399,2.20857,5.59397,2.27672,0.00053911,0.00053911,0.00053911
4,25.4698,1.86297,2.39712,1.77321,0.19972,0.39969,0.2183,0.09457,2.19658,5.85295,2.29015,0.000715596,0.000715596,0.000715596
5,31.206,1.79847,2.31738,1.73113,0.39348,0.25328,0.21995,0.09973,2.56825,6.13099,2.65384,0.00088837,0.00088837,0.00088837
6,36.8192,1.79795,2.24763,1.79524,0.16875,0.30176,0.13816,0.06987,2.30882,13.9131,2.75726,0.00105743,0.00105743,0.00105743
7,42.3484,1.80908,2.30436,1.80771,0.4386,0.24342,0.19003,0.08459,2.30639,5.00697,2.54635,0.00117575,0.00117575,0.00117575
8,47.8436,1.724,2.25491,1.78118,0.2143,0.33247,0.17752,0.06842,2.31574,5.74349,2.59883,0.00116337,0.00116337,0.00116337
9,53.3717,1.70838,2.1709,1.76146,0.30023,0.33805,0.27398,0.09529,2.35279,3.48347,2.57991,0.001151,0.001151,0.001151
10,58.9495,1.75702,2.10003,1.75502,0.3795,0.33741,0.29215,0.12632,2.17774,3.04941,2.40113,0.00113863,0.00113863,0.00113863
11,64.5864,1.74981,2.10663,1.77103,0.34816,0.40383,0.31908,0.17066,2.17729,3.64637,2.36858,0.00112625,0.00112625,0.00112625
12,70.22,1.67426,2.06388,1.71639,0.31251,0.22749,0.24295,0.09201,2.29124,2.85646,2.50096,0.00111388,0.00111388,0.00111388
13,75.7308,1.69339,2.02833,1.71189,0.24576,0.33829,0.22464,0.09564,2.40898,4.01464,2.48985,0.0011015,0.0011015,0.0011015
14,81.2277,1.62786,1.97681,1.68649,0.39877,0.41538,0.40136,0.20216,2.03457,3.2485,2.20012,0.00108913,0.00108913,0.00108913
15,86.8343,1.61201,1.95657,1.67026,0.51515,0.3589,0.3874,0.18127,1.96559,2.64606,2.13415,0.00107675,0.00107675,0.00107675
16,92.3471,1.59929,1.98001,1.66138,0.66404,0.35308,0.38902,0.21066,1.98438,2.62921,2.12138,0.00106437,0.00106437,0.00106437
17,97.8714,1.62433,1.91404,1.67766,0.49229,0.38292,0.40229,0.18258,1.98667,2.48838,2.07283,0.001052,0.001052,0.001052
18,103.398,1.57681,1.94342,1.65363,0.55198,0.32102,0.32437,0.15992,2.00735,3.34885,2.06486,0.00103962,0.00103962,0.00103962
19,108.942,1.47437,1.79219,1.57758,0.39538,0.40054,0.32927,0.164,1.88066,2.41405,1.98502,0.00102725,0.00102725,0.00102725
20,114.561,1.56038,1.9064,1.65292,0.47007,0.3405,0.3494,0.18279,1.87534,2.22454,1.99825,0.00101488,0.00101488,0.00101488
21,120.082,1.53252,1.87273,1.62674,0.46592,0.4264,0.41435,0.21267,1.80079,1.90978,1.92398,0.0010025,0.0010025,0.0010025
22,125.709,1.49173,1.72804,1.58871,0.54145,0.41686,0.44573,0.23601,1.80667,1.99798,1.93648,0.000990125,0.000990125,0.000990125
23,131.324,1.48681,1.7666,1.58388,0.50831,0.42949,0.41189,0.25112,1.77154,2.26006,1.95395,0.00097775,0.00097775,0.00097775
24,136.946,1.463,1.75598,1.55665,0.38727,0.47139,0.42014,0.24124,1.71235,2.00345,1.87131,0.000965375,0.000965375,0.000965375
25,142.513,1.44646,1.77319,1.56958,0.47069,0.4171,0.42239,0.24153,1.74164,1.95856,1.92138,0.000953,0.000953,0.000953
26,148.049,1.41393,1.71148,1.55512,0.34425,0.44639,0.35504,0.16192,1.87281,2.47121,1.99444,0.000940625,0.000940625,0.000940625
27,153.595,1.40559,1.7062,1.56252,0.48141,0.53031,0.49353,0.28297,1.74802,1.89026,1.86317,0.00092825,0.00092825,0.00092825
28,159.249,1.40914,1.64242,1.52971,0.43258,0.45851,0.4029,0.20143,1.78628,2.12477,1.9388,0.000915875,0.000915875,0.000915875
29,164.742,1.3642,1.6157,1.51197,0.52118,0.51579,0.50445,0.28307,1.68342,1.94543,1.80783,0.0009035,0.0009035,0.0009035
30,170.313,1.35581,1.58417,1.49332,0.56442,0.47099,0.49092,0.24714,1.76545,1.99793,1.92854,0.000891125,0.000891125,0.000891125
31,175.784,1.33249,1.60024,1.49599,0.46484,0.48201,0.4368,0.24005,1.84436,2.07865,1.89466,0.00087875,0.00087875,0.00087875
32,181.304,1.33367,1.58137,1.46721,0.58156,0.48786,0.52174,0.29679,1.75668,1.79708,1.86154,0.000866375,0.000866375,0.000866375
33,186.889,1.31681,1.61388,1.46826,0.48086,0.55932,0.54562,0.31292,1.66851,1.7868,1.81359,0.000854,0.000854,0.000854
34,192.513,1.33188,1.51493,1.44688,0.51194,0.49576,0.46112,0.2622,1.7255,2.41633,1.88158,0.000841625,0.000841625,0.000841625
35,197.96,1.37681,1.60024,1.49493,0.53471,0.51609,0.51854,0.29005,1.70823,1.94218,1.8906,0.00082925,0.00082925,0.00082925
36,203.466,1.34294,1.58278,1.47485,0.61669,0.50648,0.57038,0.33745,1.65547,1.66973,1.76292,0.000816875,0.000816875,0.000816875
37,209.086,1.28264,1.54747,1.43243,0.51365,0.58295,0.57446,0.34787,1.66537,1.69784,1.75803,0.0008045,0.0008045,0.0008045
38,214.695,1.32401,1.50587,1.45529,0.60689,0.49635,0.54491,0.30814,1.69701,1.69571,1.79459,0.000792125,0.000792125,0.000792125
39,220.247,1.28936,1.47596,1.41988,0.5506,0.53564,0.52299,0.30799,1.63969,1.74174,1.79125,0.00077975,0.00077975,0.00077975
